,text,label,predicted_result
66,10 Things People With A Spider On Their Face Are Tired Of Hearing,clickbait,clickbait
67,Cleveland Police Officers Involved In Fatal Shooting Of Tamir Rice Face Discipline,clickbait,clickbait
68,Brian Neville obituary,news,news
69,OMG!  Finally 13 Shops That Do Pizza Right! #11 Is Super Yummy,clickbait,clickbait
70,This Teen's Mom Just Realized What Their Dogs Were Doing All Day And Freaked Out,clickbait,clickbait
71,Four More Former Officials Charged In Fallout From The Flint Water Crisis,clickbait,clickbait
72,Minnesota Football Coach Fired After Controversy Over Campus Rape Case,clickbait,clickbait
73,This Artist Finds Your Facebook Pics And Turns You Into A Sloth...You'll See What I Mean,clickbait,clickbait
74,Brighton festival to host UK premiere of Gabriels trilogy,news,news
75,These 18 People Should Never Be Allowed To Travel Again. OMG #4 Has No Boundaries,clickbait,clickbait
76,Negroland by Margo Jefferson review  a brilliant memoir about race in America,news,news
77,17 Brand Names If They Told The Truth,clickbait,clickbait
78,Kejriwal self-proclaimed Chief Justice of Indian politics: BJP,news,news
79,"Fact-checking the inaugural speech: the economy, crime and hiring American",news,news
80,Delhi High Court notice to cops in Phoolan Devi murder case,news,news
81,Trump Announces End To Climate And Pollution Rules As A First Act,clickbait,clickbait
82,"Winifred Holtby: author, feminist, campaigner",news,news
83,These 27 Tattooed Individuals Have Visible Ink And Still Remain Classy. Who's A Thug Now?,clickbait,clickbait
84,Donald Trump invites Benjamin Netanyahu to Washington for visit: White House,news,news
85,"50% reservation in Bihar judicial services, women quota remains",news,news
86,Susan Rice Still Thinks Not Intervening In Syria Was A Good Call,clickbait,clickbait
87,NPPA to soon fix ceiling prices of stents,news,news
88,Hollywood Reacts To The Death Of Debbie Reynolds,clickbait,clickbait
89,Can credit unions finally provide a truly ethical current account?,news,news
90,13 Teen Movies That Never Get Old,clickbait,clickbait
91,President Trump,news,news
92,15 Sarcastic E-cards To Tell Someone How You Really Feel,clickbait,clickbait
93,Istanbul bookshop that transports young Syrians back home,news,news
94,"Delhis New Ashok Nagar rape case: DNA, brain mapping test of accused",news,news
95,10 Reasons Why Madam Paddington Is Simply The Most Awful Governess In The World,clickbait,clickbait
96,Newspapers push for judicial review of Impress recognition,news,news
97,"No provocation can stop its military drills, says China party paper",news,news
98,"Woman, daughter found dead under mysterious circumstances",news,news
99,15 Uncommon Travel Destinations That Will Take Your Breath Away,clickbait,clickbait
100,"Baby Born In Jail Dies After Staff Ignored Labor, Mother Says",clickbait,clickbait
101,"Election Officials Say There Is ""No Basis"" To Rumors That Russia Rigged The Vote For Trump",clickbait,clickbait
102,India pip England in Cuttack run fest to clinch series,news,news
103,North Carolina Legislature Fails To Repeal Bathroom Law After Deal Breaks Down,clickbait,clickbait
104,Turnbull says One Nations medicinal cannabis amnesty 'irresponsible',news,news
105,Video Shows Woman Being Dragged Off Delta Flight By Her Hands And Feet,clickbait,clickbait
106,Obama Calls Facebook Live Video Of Torture A &quot;Despicable&quot; Hate Crime,clickbait,clickbait
107,US asks Pakistan to show restraint in expanding nuclear power,news,news
108,These Posters With Beyonc Lyrics On Them Are All The Inspiration You'll Ever Need,clickbait,clickbait
109,19 Tattoos That Are Truly Beautiful,clickbait,clickbait
110,6 Sunsets That Would Be More Peaceful If It Werent For Your Loudly Growling Stomach,clickbait,clickbait
111,Russia dossier: what happens next  and could Donald Trump be impeached?,news,news
112,"Cryptic crossword No 27,093",news,news
113,Delhi: One held for Mukherjee Nagar riots,news,news
114,Women who worked on Play for Today | Letters,news,news
115,Former Tory health minister defends Simon Stevens over NHS winter crisis,news,news
116,19 Shameful Dog Moments,clickbait,clickbait
117,15 Dogs Doing Human Like Things. This Will Either Freak You Out or You'll Totally Love It,clickbait,clickbait
118,17 Problems That Should've Been Solved Long Ago. #1 Fills Me With So Much Rage,clickbait,clickbait
119,"We take our hats off to Kedar Jadhav, he gave us no chance: Eoin Morgan",news,news
120,Philippine forces mount massive search for abducted Italian,news,news
121,Suspect Arrested In Fatal Shooting Of San Antonio Police Officer,clickbait,clickbait
122,UN free speech advocate criticises UK plan to curb access to online porn,news,news
123,9 Works Of Art That Are Unlike Anything You've Ever Seen Before. But It's Simply Stunning,clickbait,clickbait
124,Prime Minister respects Tamil culture: Pon Radhakrishnan,news,news
125,Womans death in Howrah amusement park accident: Management of company that maintained park booked for murder,news,news
126,Ambedkarite organisations must unify against discrimination of Dalits,news,news
127,White House refusal to release Trump tax returns alienates WikiLeaks,news,news
128,"McCain Slams Obama Admin's ""Ideological Agenda"" Against For-Profit Colleges",clickbait,clickbait
129,All The Looks At The People's Choice Awards,clickbait,clickbait
130,"Kanye West Is Recovering ""At Home"" And ""Doing Well,"" Source Says",clickbait,clickbait
131,"#4 Is Genius, But The Rest Of These Pictures Of Latte Art Are Okay Too",clickbait,clickbait
132,Fox Sports Airs 90 Minutes Of Silence For Victims Of Colombia Plane Crash,clickbait,clickbait
133,Readers recommend playlist: your songs with alliteration,news,news
134,Mariah Carey Had A Rough Time With Her New Year's Eve Performance,clickbait,clickbait
135,Heres How Samsung Is Forcing People To Turn In Their Galaxy Note7 Phones,clickbait,clickbait
136,South Korea warns North as Kim Jong Un threatens all-out war,news,news
137,US abortion rate is lowest since Roe v Wade  but contraception access may go,news,news
138,Five things to look out for in children's social care in 2017,news,news
139,Frances ex-PM Manuel Valls fights for spot in presidential primary,news,news
140,"Virat Kohli and his men are not infallible, says Australias Stephen OKeefe",news,news
141,Ever Wondered Whats Going On In The Nativity Scene? Well Break It Down For You,clickbait,clickbait
142,Bombay HC upholds life sentence to man for murder of minor daughter,news,news
143,The weekend cook: Thomasina Miers parsnip risotto and blood orange cake recipes,news,news
144,"They Said Hed Never Walk Again. But Who Were They, And Why Were They Saying Stuff About Him?",clickbait,clickbait
145,"Resident of 3 countries, one of Indias oldest first-time voters, dies",news,news
146,Floyd Mayweather offers new terms to fight UFC star Conor McGregor,news,news
147,"No survivors at wreckage of crashed Indonesia plane, say rescuers",news,news
148,Nordstrom Is Selling A Rock In A Leather Case For $85 And People Are Confused,clickbait,clickbait
149,23 Emojis That You're Completely Misinterpreting. I Need To Stop Sending #17!,clickbait,clickbait
150,Can You Pass This Difficult Color-Mixing Quiz?,clickbait,clickbait
151,Australian Open 2017: Johanna Konta calls the shots to ease into fourth round,news,news
152,Fear and loathing in Nicosia: will peace talks unify Europe's last divided capital?,news,news
153,Jury Sentences White Supremacist Dylann Roof To Death For The Charleston Church Massacre,clickbait,clickbait
154,Kolkata: Security increased at railway stations after hoax threat,news,news
155,India vs England 2nd ODI: England eye short-cut to success,news,news
156,There's Nothing Hotter Than A Lumbersexual,clickbait,clickbait
157,India pip England in Cuttack run fest to clinch series,news,news
158,"In UP Brush Nagari, note ban lifts BSP, SP",news,news
159,It Was 12AM Somewhere. This Is How 25 Cities Looked When The World Celebrated A New Year,clickbait,clickbait
160,These Models Look So Whimsical In These Photos. When You Realize Where They Are...,clickbait,clickbait
161,These 16 Conversations Between Pilots and Control Towers Are Absolutely Hilarious,clickbait,clickbait
162,7 Classic 90s Toys That Werent Fun Anymore After 9/11,clickbait,clickbait
163,"Burqa a garment of extremism, backwardness: Chinese official",news,news
164,"For a change, board upbeat after Supreme Court modifies order on tenure",news,news
165,Six reasons why sleeping in separate beds can be a good idea,news,news
166,These Were Just Normal GIFs...And Then Michael Bay Got Involved. I Can't Stop Laughing.,clickbait,clickbait
167,"Roast  potatoes and toast that's a bit too brown may cause cancer, say authorities",news,news
168,"Carrie Keagan Slams Donald Trump's Continued Role On ""The New Celebrity Apprentice""",clickbait,clickbait
169,Blockchain: what is it and what does it mean for development?,news,news
170,Police Set Up A Camera In Kansas To Find A Mountain Lion And WTF Is Happening,clickbait,clickbait
171,The 21 Best Moments From the Oscars That Had Nothing To Do With The Actual Awards,clickbait,clickbait
172,Barcelona lose Sergio Busquets to sprained ankle,news,news
173,What's The Worst Holiday Present You've Ever Received?,clickbait,clickbait
174,"We always celebrate the argumentative Indian, not the intolerant: President Pranab Mukherjee",news,news
175,Underworld: Blood Wars review  dead on arrival,news,news
176,Patrick Bamford on verge of joining Middlesbrough after Chelsea accept offer,news,news
177,Age not just a number as Super Serena Williams marches on at Melbourne,news,news
178,Twitter Tests Breaking News Push Notifications,clickbait,clickbait
179,A Judge Just Suspended Obamacare's Transgender Protections  Here's What That Means,clickbait,clickbait
180,17 Wikipedia Pages That Will Freak You Out...Yet You'll Want To Keep Reading,clickbait,clickbait
181,"This Japanese Rock, Paper, Scissors Tournament Is Probably The Most Intense Thing You've Ever Se",clickbait,clickbait
182,Florida Supreme Court Signals Possible Upheaval For State's Death Row,clickbait,clickbait
183,Bombay High Court asks state:  What measures taken to protect children of women prisoners,news,news
184,"Cristiano Ronaldo will always be criticised, says Zinedine Zidane",news,news
185,"Supreme Court to name BCCI admins on January 24, modifies earlier order",news,news
186,Day-to-day proceeding in Uber cab rape,news,news
187,Bangkok blast: Thai authorities launch hunt for male suspect,news,news
188,Definitive Ranking Of U.S. Presidents By How Many Of Their Bones We Could Obtain,clickbait,clickbait
189,What I learned in four years at the helm of the arts,news,news
190,Alan Tudge says Centrelink may check letters received before debt imposed,news,news
191,"Trump Presidency Could Boost Pharma, Construction, Prisons, And Banks",clickbait,clickbait
192,Georgia Lawmaker Wants To Stop Colleges From Investigating Rapes,clickbait,clickbait
193,Pakistan postpones execution of physically challenged death row convict,news,news
194,Former World Cup referee Pierluigi Collina among committee chairmen named by FIFA,news,news
195,This Lesbian Couple Had To Marry Overseas After Shock Cancer Diagnosis,clickbait,clickbait
196,Big Brothers eye on the health service | Letters,news,news
197,Massive Women's Marches Were Held Across The Globe To Protest Donald Trump,clickbait,clickbait
198,This Teen Figured Out How To Deter Her Family From Asking Whether She Has A Boyfriend,clickbait,clickbait
199,Kardashian Sisters Try To Block Blac Chyna's Kardashian Trademark,clickbait,clickbait
200,Dont treat Donald Trump as if hes a normal president. Hes not | Jonathan Freedland,news,news
201,8 Gorgeous Pictures Of Transgender Models We Found On Dads Computer,clickbait,clickbait
202,11 Places To Shop To Support LGBTQ Rights,clickbait,clickbait
203,"Trump takes first actions on Cabinet, declares day of patriotism: Spokesman",news,news
204,23 Unspoken Suit Rules Every Guy Should Know. I'm Surprised How Few I Knew...,clickbait,clickbait
205,Russian Meddling In The Election Is Already A Partisan Fight,clickbait,clickbait
206,Roger Federer holds off Kei Nishikori to reach quarter-finals,news,news
207,"Vows Against Illegal Immigration Return At Trump's ""Thank You"" Rally",clickbait,clickbait
208,9 Things Only World Travelers Understand,clickbait,clickbait
209,"11 Times ""The Simpsons"" Bizarrely Predicted The Future Of Technology",clickbait,clickbait
210,The New White House Website Says Almost Nothing About Tech,clickbait,clickbait
211,Investigation after third death in UK immigration detention centre,news,news
212,Infosys has taken over Rajarhat plot: TMC,news,news
213,21 Ways Your Favorite Superheroes Are Celebrating Christmas,clickbait,clickbait
214,Not getting right answers to queries: Delhi MLAs,news,news
215,9 Stunning Pics That Prove Thomas Jeffersons Mount Rushmore Head Needs To Be The Next Bachelor,clickbait,clickbait
216,This May Be The Worst Donald Trump Impersonator Ever,clickbait,clickbait
217,8 Photos Of Gorgeous Australian Women Which Is Unfortunately Too Small A Sample Size To Prove An,clickbait,clickbait
218,Site Of Deadly Oakland Fire Slipped Past Inspectors For Decades,clickbait,clickbait
219,"Divisive, ungracious, unrepentant: this was Trump unbound | Jonathan Freedland",news,news
220,18 Signs That You Are Definitely A Sniffer,clickbait,clickbait
221,People Are RSVPing To Trump's Inauguration In The Most Hilarious Way,clickbait,clickbait
222,This Dad Doesn't Want To Walk His Daughter Down The Aisle. When You See Why...OMG. Tears,clickbait,clickbait
223,"When and where to watch India vs England third ODI live coverage on TV, live streaming",news,news
224,9 Ideas to Reuse Your Old Crap. The Drum Lamp Is Awesome!,clickbait,clickbait
225,Malda: Three injured in family clash during wedding,news,news
226,Final episode of BBC's Sherlock leaked online,news,news
227,"Missing for a day, found shot dead on NH 24",news,news
228,"Demonetisation: 35 per cent job losses, 50 per cent revenue dip, says study by largest organisation of manufacturers",news,news
229,"US, Indian navies sharing information on Chinese subs, says Pacific Command chief",news,news
230,Cool! This Map Shows Which States Residents Say Wyoming The Most,clickbait,clickbait
231,Intellectuals doubt demonetisation impact on Black Money,news,news
232,15 Adorable Photos of Kids And Their Pets Growing Up Together... The Last One Left Me In Tears,clickbait,clickbait
233,25 Things Khloe Kardashian Has Very Meticulously Organized,clickbait,clickbait
234,Rift widens as Mulayam expels CM Akhilesh Yadav from party for 6 years,news,news
235,Live By Night review  too smooth by half,news,news
236,This Magnetic Bottle Hanger Is About To Make More Room For Beer In Your Fridge...YES!,clickbait,clickbait
237,8 DIY Christmas Decorations You Can Print Out At Home,clickbait,clickbait
238,We Put 700 Red Dots On A Map,clickbait,clickbait
239,"Murder of 24-year-old physiotherapist: After FSL treats CCTV footage, picture of accused released",news,news
240,Demonetisation: TMC leaders protest outside RBI,news,news
241,"In Dadar, a reminder of a wrestlers contribution to Indian sport",news,news
242,"16 Times Jonathan Taylor Thomas Made The Thirst Real In ""I'll Be Home For Christmas""",clickbait,clickbait
243,Sleep disorder may affect kidney function,news,news
244,"Two Delhi women allegedly gangraped by five men, posing as cops, in Goa",news,news
245,Andre Agassi expects Novak Djokovic to rebound sooner than later,news,news
246,Australian Open: Venus Williams downs Mona Barthel to reach quarter-final,news,news
247,New Poisonous Frog Species Discovered in Peru,news,clickbait
248,Seeing stroke recovery through music reminded me why I love my job,news,news
249,DeploraBall: Trump lovers and haters clash at Washington DC event,news,news
250,Urban Myths: Bob Dylan review  his Bobness pops to Crouch End for tea,news,news
251,13 Practically Impossible Questions For Anyone Who Works In An Office,clickbait,clickbait
252,Heres What The Syrian Regimes Capture Of Aleppo Means For The World,clickbait,clickbait
253,Blind trusts: what do Theresa May and Donald Trump have in common?,news,news
254,"Julian Assange ready for US extradition, one of his lawyers suggests",news,news
255,15 Kids Who Are Most Likely The Spawns Of Satan,clickbait,clickbait
256,18 Of Taylor Swift's Absolute Best Quotes That Prove She Can Do No Wrong,clickbait,clickbait
257,What Do You Get When You Use Lord of the Rings Quotes to Sell Modern Products? Perfection,clickbait,clickbait
258,This Hilarious Artist Gave Classical Paintings A Modern Makeover,clickbait,clickbait
259,35 Gifts For the Wanderlust-Obsessed Person In Your Life,clickbait,clickbait
260,BCCI officials get nine more lives,news,news
261,This Hairdresser Spent Time Giving Homeless People Haircuts And They Look Spectacular,clickbait,clickbait
262,Angelina Jolie boosted breast cancer genetic testing: Study,news,news
263,Pakistan decides to share crucial evidence of Badhaber attack with Afghanistan,news,news
264,"Here's What The Supporting Cast Of ""Love Actually"" Is Up To Now",clickbait,clickbait
265,Video: Sodium cyanide traces found in waters near China blasts site,news,news
266,Walk away from terror to start talks: PM Modi to Pak,news,news
267,19 Products From Amazon That'll Make Perfect Gifts,clickbait,clickbait
268,Commentator Doug Adler dropped over Venus gorilla remark,news,news
269,Mistrial Declared In The Case Of A Former Cop Who Shot And Killed Walter Scott,clickbait,clickbait
270,Kindergarten student among five of a family slaughtered in Aizwal home,news,news
271,Suresh Prabhu is earnest but govt neglecting railways: Mamata Banerjee,news,news
272,Peter Womersley: from Bauhaus to boiler house,news,news
273,The Last Living Survivors Of The Pearl Harbor Attack Were Honored In An Emotional Commemoration,clickbait,clickbait
274,One-day cricket the victim of the mid-summer sporting pile-up,news,news
275,A Convicted Felon Registered A Bunch Of Trump-Related Domains In Asia,clickbait,clickbait
276,Blak Whyte Gray review  rich and melancholy joy,news,news
277,US: Ethics lawyers to sue President Donald Trump over foreign payments,news,news
278,11 Rubber Band Hacks You Had No Idea Would Actually Work,clickbait,clickbait
279,Joint press conference: Congress runs into opposition in Opposition,news,news
280,29 Houses Built In Total Isolation. #18 Must Have A Terrible Time Going Grocery Shopping,clickbait,clickbait
281,9 Celebrities You Never Knew Had Plastic Surgery And You Never Will Because We Blurred Their Fac,clickbait,clickbait
282,Bane of our existence: Trump speech has uncanny echo of Batman villain,news,news
283,Nobel Prize Winners Are Asking Donald Trump To Respect Science,clickbait,clickbait
284,25 Reasons Wine Is Definitely Your Soulmate,clickbait,clickbait
285,EU law 'will continue to apply in UK during transition deal',news,news
286,Is Taapsee Pannu acting pricey? | Celebs - Times of India Videos,clickbait,clickbait
287,"Stopping vehicular pollution is toughest: Bhure Lal, chairperson of EPCA",news,news
288,Here's The Warrant The FBI Used In The Clinton Email Investigation,clickbait,clickbait
289,"Its has been very tough and emotional journey, says Saina Nehwal",news,news
290,Sam Rockwell's Opinion On 56 Completely Random Things,clickbait,clickbait
291,No prior restraint on media: Supreme Court underlines,news,news
292,"Cabinet clears ordinance, heavy fine on holders of scrapped notes",news,news
293,Italy avalanche: Four children and woman rescued after two days,news,news
294,21 Mindbending Pictures That Blend Reality And Fantasy,clickbait,clickbait
295,I Actually Kind Of Give A Shit: A Teen Reveals His Darkest Secret,clickbait,clickbait
296,World On Alert: Has The American Ebola Outbreak Spread To Africa?,clickbait,clickbait
297,"Cycle goes to Akhilesh, father remains spoke in party wheel",news,news
298,Will Karl Lagerfeld or Ralph Lauren dress Melania Trump for the inauguration?,news,news
299,Gas Prices Are Set To Rise As Trump Takes Office,clickbait,clickbait
300,If constituencies had decided the outcome of the EU referendum | Letters,news,news
301,17 Instagrams That Are Overly Honest...We Are All Guilty Of #9,clickbait,clickbait
302,Octavia Spencer's Reaction To Meeting President Obama Is Absolute Perfection,clickbait,clickbait
303,Jallikattu Ordinance draft by TN gets Centres approval,news,news
304,8 Ways Your Life Isnt Like Harry Potter,clickbait,clickbait
305,15 Dirty Minded People Bought A Boat. You Won't Believe Happens Next.,clickbait,clickbait
306,Overweight patients less likely to die in hospital after heart operations,news,news
307,Sanctuary Cities Double Down Ahead Of Trump's Immigration Agenda,clickbait,clickbait
308,25 Of The Best Throw Pillows You Can Get On Amazon,clickbait,clickbait
309,29 Dads Too Embarrassing For Words...#4 Actually Did That,clickbait,clickbait
310,Global warning - 24 hours of live climate change coverage,news,news
311,Tottenhams Jan Vertonghen facing up to two months out with ankle injury,news,news
312,"The Distillery, Notting Hill, London: hotel review",news,news
313,Delhi: Shabnam Hashmi goes to cops after leaflets oppose her event #IWillGoOut,news,news
314,27 Toddlers Who Only Eat Certain Foods...#16 Is Too Hilarious To Be Mad At,clickbait,clickbait
315,Obama White House Issues Final Call On Combating Campus Rape,clickbait,clickbait
316,"Superseded Lt General says he will stay, greets General Bipin Rawat as he takes charge",news,news
317,"Manchester police used 'dangerous' CS gas without permission, court told",news,news
318,Shopping Is Not A Choice...It's A Necessity,clickbait,clickbait
319,Federal Hate Crime Law Used For Transgender Violence For The First Time,clickbait,clickbait
320,Ohio Can Keep Execution Drug Supplier Secret From Death Row Inmates,clickbait,clickbait
321,Obama commutes sentence for political prisoner Oscar Lpez Rivera,news,news
322,Mumbai: Western Railway track repairs to delay peak-hour trains,news,news
323,They Thought They Found A Mouse On Their Doorstep. What Happened Next Is Incredible.,clickbait,clickbait
324,'Lord of the Dance' Michael Flatley to perform at Trump inauguration ball,news,news
325,10 Awesomely Offbeat Ideas For Your Nontraditional Wedding,clickbait,clickbait
326,The month in soaps: EastEnders' wedding wrecker,news,news
327,We Know Your Hair And Eye Color Based On Your Color Preferences,clickbait,clickbait
328,20 People Photographed Doing Shots & The Hilarious Reactions That Followed,clickbait,clickbait
329,Sam Allardyce motivated by fear of failure at Crystal Palace,news,news
330,Camilla George Quartet: Isang review  engaging jazz you want to dance to,news,news
331,Ethical gift market helps Oxfam post highest Christmas sales for five years,news,news
332,"This Website Is Listing ""Anti-American"" US Professors",clickbait,clickbait
333,The Puppy Bowl Will Feature Three Special-Needs Dogs This Year,clickbait,clickbait
334,"Mumbai: MSEDCL power bill arrears climb to Rs 29,000 cr",news,news
335,Article 50: Labour to push for closer scrutiny of Brexit process,news,news
336,Killer whales explain the mystery of the menopause,news,news
337,Man Saved By His Laptop During Fort Lauderdale Airport Shooting,clickbait,clickbait
338,Irani Cup: Attacking ton by Wriddhiman Saha raises Rest of Indias hopes of win,news,news
339,Two friends face jail over dare that ended in goldfish swallowing,news,news
340,Prince William to leave job as air ambulance pilot for full-time royal duties,news,news
341,Saints and sinners in the pay cap debate | Letters,news,news
342,Trump Nominates Former Wrestling Executive Linda McMahon For Cabinet Post,clickbait,clickbait
343,Surrey confirms plans to raise council tax by 15%,news,news
344,The Global Capital Of Everything Cheap Knew Where The US Election Was Heading,clickbait,clickbait
345,23 Photos With Incredible Timing...I Can't Decide If These Are Awesome Or Disturbing,clickbait,clickbait
346,A Pixar Artist Turned R-Rated Films Into An Illustrated Kids Book... And It's Creepy,clickbait,clickbait
347,British battler Dan Evans downs local Bernard Tomic to reach last 16,news,news
348,People Are Cringing Over Trump's Adviser Saying The Inauguration Will Have &quot;Soft Sensuality,clickbait,clickbait
349,8 Art Structures Made Out Of Something No One Expected. OMG. This Is Absolutely Amazing,clickbait,clickbait
350,"Demonetisation: Rs 14 lakh crore in old notes are back, only Rs 75,000 crore out",news,news
351,Here's What The Women's March Organizers Want To Happen Next,clickbait,clickbait
352,Trying to pin down Labours position on free movement | Letters,news,news
353,Korea Air admits to tasering unruly passengers,news,news
354,"After A Woman Was Beaten By A Gang, People Trolled Her With This Hashtag",clickbait,clickbait
355,Alleged IM explosives suppliers to spend two more days in police custody,news,news
356,This Genius Invention Will Change Transportation As We Know It... Goodbye Walking,clickbait,clickbait
357,All eyes will be on a composed Hillary Clinton at the inauguration that got away,news,news
358,"BMC polls: EC to keep tab on chartered flights, choppers to check cash & liquor",news,news
359,Railways theft case: CID likely to summon Ruias accountant,news,news
360,"Tried to assault 600 girls: Accused was superstitious, followed a routine, say cops",news,news
361,The 19 Most Creative Watches Of All Time. You'll Have To Look At #2 Twice,clickbait,clickbait
362,NHS transformation plans are beset by infighting,news,news
363,North Carolina's Republican Governor Wants An Election Recount After Alleging Voter Fraud,clickbait,clickbait
364,People Are Obsessed With This High Schooler Who Made A Fierce Statement With His T-Shirt,clickbait,clickbait
365,"Dalai Lama hopes Donald Trump, Vladimir Putin will work together for global peace",news,news
366,Guardian News & Media appoints Evelyn Webster as interim chief executive officer of US operation as Eamonn Store steps down,news,news
367,"As WhatsApp becomes latest victim, are any messaging apps truly secure?",news,news
368,This Man Slipped Off The Train Platform...But You'll Never Guess Who Saved His Life,clickbait,clickbait
369,"Michelle Obama Shares How She Really Reacted To Being Called An ""Angry Black Woman""",clickbait,clickbait
370,"Google, Apple, Uber, IBM Say They Would Not Help Build A Muslim Registry",clickbait,clickbait
371,"Global peace uncertain with Donald Trumps ascension, says historian",news,news
372,You Can Buy Snapchat's Spectacles Out Of A Yellow Vending Machine,clickbait,clickbait
373,21 Celebrities Who Had Bizarre Jobs Before They Were Famous,clickbait,clickbait
374,27 Gifts That Will Thrill Any Cocktail Lover,clickbait,clickbait
375,Kanye West Hospitalized After 911 Call From Doctor,clickbait,clickbait
